[BiLSTM]
PS C:\Capstone\arm-pose-estimation-main> 
& C:/Users/bluei/AppData/Local/Programs/Python/Python312/python.exe c:/Capstone/arm-pose-estimation-main/src/wear_mocap_ape/classification/fine_tune_online.py --train-csv online_vxo.csv --test-csv vxo_gesture.csv --pretrained offline_gesture_bilstm.pth --model bilstm --output online_gesture_bilstm.pth  --lr 1e-3
==================================================
### 1단계: bilstm 모델 5-Fold 교차 검증 시작 ###
==================================================

--- Fold 1/5 ---
  Fold 1 | Epoch 1/25 | Val Loss: 0.3053, Val F1: 0.9165
  Fold 4 | Epoch 5/25 | Val Loss: 0.3353, Val F1: 0.8309
  Fold 4 | Epoch 6/25 | Val Loss: 0.3320, Val F1: 0.8309
  Fold 4 | Epoch 7/25 | Val Loss: 0.3280, Val F1: 0.8309
  Fold 4 | Epoch 8/25 | Val Loss: 0.3240, Val F1: 0.8309
  Fold 4 | Epoch 9/25 | Val Loss: 0.3194, Val F1: 0.8309
  Fold 4 | Epoch 10/25 | Val Loss: 0.3145, Val F1: 0.8309
  Fold 4 | Epoch 11/25 | Val Loss: 0.3113, Val F1: 0.8309
  Fold 4 | Epoch 12/25 | Val Loss: 0.3065, Val F1: 0.8309
  Fold 4 | Epoch 13/25 | Val Loss: 0.3012, Val F1: 0.8609
  Fold 4 | Epoch 14/25 | Val Loss: 0.2964, Val F1: 0.8609
  Fold 4 | Epoch 15/25 | Val Loss: 0.2921, Val F1: 0.8881
  Fold 4 | Epoch 16/25 | Val Loss: 0.2883, Val F1: 0.8881
  Fold 4 | Epoch 17/25 | Val Loss: 0.2832, Val F1: 0.8881
  Fold 4 | Epoch 18/25 | Val Loss: 0.2786, Val F1: 0.8881
  Fold 4 | Epoch 19/25 | Val Loss: 0.2763, Val F1: 0.8881
  Fold 4 | Epoch 20/25 | Val Loss: 0.2726, Val F1: 0.8881
  Fold 4 | Epoch 21/25 | Val Loss: 0.2686, Val F1: 0.8881
  Fold 4 | Epoch 22/25 | Val Loss: 0.2650, Val F1: 0.8881
  Fold 4 | Epoch 23/25 | Val Loss: 0.2600, Val F1: 0.8881
  Fold 4 | Epoch 24/25 | Val Loss: 0.2533, Val F1: 0.8881
  Fold 4 | Epoch 25/25 | Val Loss: 0.2489, Val F1: 0.8881

--- Fold 5/5 ---
  Fold 5 | Epoch 1/25 | Val Loss: 0.3564, Val F1: 0.9084
  Fold 5 | Epoch 2/25 | Val Loss: 0.3471, Val F1: 0.9400
  Fold 5 | Epoch 3/25 | Val Loss: 0.3373, Val F1: 0.9400
  Fold 5 | Epoch 4/25 | Val Loss: 0.3289, Val F1: 0.9400
  Fold 5 | Epoch 5/25 | Val Loss: 0.3207, Val F1: 0.9400
  Fold 5 | Epoch 6/25 | Val Loss: 0.3129, Val F1: 0.9400
  Fold 5 | Epoch 7/25 | Val Loss: 0.3055, Val F1: 0.9400
  Fold 5 | Epoch 8/25 | Val Loss: 0.2981, Val F1: 0.9400
  Fold 5 | Epoch 9/25 | Val Loss: 0.2908, Val F1: 0.9400
  Fold 5 | Epoch 10/25 | Val Loss: 0.2841, Val F1: 0.9400
  Fold 5 | Epoch 11/25 | Val Loss: 0.2777, Val F1: 0.9400
  Fold 5 | Epoch 12/25 | Val Loss: 0.2714, Val F1: 0.9400
  Fold 5 | Epoch 13/25 | Val Loss: 0.2653, Val F1: 0.9708
  Fold 5 | Epoch 14/25 | Val Loss: 0.2597, Val F1: 0.9708
  Fold 5 | Epoch 15/25 | Val Loss: 0.2541, Val F1: 0.9708
  Fold 5 | Epoch 16/25 | Val Loss: 0.2484, Val F1: 0.9708
  Fold 5 | Epoch 17/25 | Val Loss: 0.2431, Val F1: 0.9708
  Fold 5 | Epoch 18/25 | Val Loss: 0.2377, Val F1: 0.9708
  Fold 5 | Epoch 19/25 | Val Loss: 0.2329, Val F1: 0.9708
  Fold 5 | Epoch 20/25 | Val Loss: 0.2281, Val F1: 0.9708
  Fold 5 | Epoch 21/25 | Val Loss: 0.2234, Val F1: 0.9708
  Fold 5 | Epoch 22/25 | Val Loss: 0.2188, Val F1: 0.9708
  Fold 5 | Epoch 23/25 | Val Loss: 0.2145, Val F1: 0.9708
  Fold 5 | Epoch 24/25 | Val Loss: 0.2100, Val F1: 0.9708
  Fold 5 | Epoch 25/25 | Val Loss: 0.2056, Val F1: 0.9708

--- 5-Fold CV Summary ---
Mean Validation F1: 0.9260 ± 0.0468

Unfreezing for bilstm: model.fc
Step 15/150 - Test Loss: 0.1652, Accuracy: 0.9500, F1: 0.9504
Step 30/150 - Test Loss: 0.1562, Accuracy: 0.9500, F1: 0.9504
Step 45/150 - Test Loss: 0.1482, Accuracy: 0.9667, F1: 0.9670
Step 60/150 - Test Loss: 0.1371, Accuracy: 0.9667, F1: 0.9670
Step 75/150 - Test Loss: 0.1278, Accuracy: 0.9667, F1: 0.9670
Step 90/150 - Test Loss: 0.1187, Accuracy: 0.9667, F1: 0.9670
Step 105/150 - Test Loss: 0.1081, Accuracy: 0.9667, F1: 0.9670
Step 120/150 - Test Loss: 0.1007, Accuracy: 0.9667, F1: 0.9670
Step 135/150 - Test Loss: 0.0950, Accuracy: 0.9667, F1: 0.9670
Step 150/150 - Test Loss: 0.0901, Accuracy: 0.9667, F1: 0.9670

Final evaluation on the model from the last iteration...

=== Final Test Results for bilstm ===
Test Loss       : 0.0901
Test Accuracy   : 0.9667
Macro F1 score  : 0.9670
Confusion Matrix:
[[20  0  0]
 [ 1 19  0]
 [ 1  0 19]]

Saved final model to online_gesture_bilstm.pth

[GRU]
PS C:\Capstone\arm-pose-estimation-main> & C:/Users/bluei/AppData/Local/Programs/Python/Python312/python.exe c:/Capstone/arm-pose-estimation-main/src/wear_mocap_ape/classification/fine_tune_online.py --train-csv online_vxo.csv --test-csv vxo_gesture.csv --pretrained offline_gesture_gru.pth --model gru --output online_gesture_gru.pth  --lr 3e-4               
==================================================
### 1단계: gru 모델 5-Fold 교차 검증 시작 ###
==================================================

--- Fold 1/5 ---
  Fold 1 | Epoch 1/25 | Val Loss: 0.9646, Val F1: 0.5777
  Fold 1 | Epoch 2/25 | Val Loss: 0.8424, Val F1: 0.6478
  Fold 1 | Epoch 3/25 | Val Loss: 0.7588, Val F1: 0.6914
  Fold 1 | Epoch 4/25 | Val Loss: 0.7002, Val F1: 0.6381
  Fold 1 | Epoch 5/25 | Val Loss: 0.6594, Val F1: 0.6759
  Fold 1 | Epoch 6/25 | Val Loss: 0.6206, Val F1: 0.6869
  Fold 1 | Epoch 7/25 | Val Loss: 0.5776, Val F1: 0.7758
  Fold 1 | Epoch 8/25 | Val Loss: 0.5419, Val F1: 0.8364
  Fold 1 | Epoch 9/25 | Val Loss: 0.5185, Val F1: 0.8364
  Fold 1 | Epoch 10/25 | Val Loss: 0.4936, Val F1: 0.8364
  Fold 1 | Epoch 11/25 | Val Loss: 0.4818, Val F1: 0.8364
  Fold 1 | Epoch 12/25 | Val Loss: 0.4684, Val F1: 0.8364
  Fold 1 | Epoch 13/25 | Val Loss: 0.4446, Val F1: 0.8364
  Fold 1 | Epoch 14/25 | Val Loss: 0.4215, Val F1: 0.8364
  Fold 1 | Epoch 15/25 | Val Loss: 0.3885, Val F1: 0.8646
  Fold 1 | Epoch 16/25 | Val Loss: 0.3701, Val F1: 0.8646
  Fold 1 | Epoch 17/25 | Val Loss: 0.3617, Val F1: 0.8646
  Fold 1 | Epoch 18/25 | Val Loss: 0.3583, Val F1: 0.8646
  Fold 1 | Epoch 19/25 | Val Loss: 0.3210, Val F1: 0.8646
  Fold 1 | Epoch 20/25 | Val Loss: 0.3083, Val F1: 0.8918
  Fold 1 | Epoch 21/25 | Val Loss: 0.2831, Val F1: 0.8918
  Fold 1 | Epoch 22/25 | Val Loss: 0.2538, Val F1: 0.9164
  Fold 1 | Epoch 23/25 | Val Loss: 0.2376, Val F1: 0.9164
  Fold 1 | Epoch 24/25 | Val Loss: 0.2376, Val F1: 0.9164
  Fold 1 | Epoch 25/25 | Val Loss: 0.1965, Val F1: 0.9444

--- Fold 2/5 ---
  Fold 2 | Epoch 1/25 | Val Loss: 0.8625, Val F1: 0.5581
  Fold 2 | Epoch 2/25 | Val Loss: 0.6916, Val F1: 0.6680
  Fold 2 | Epoch 3/25 | Val Loss: 0.5959, Val F1: 0.7074
  Fold 2 | Epoch 4/25 | Val Loss: 0.5522, Val F1: 0.7397
  Fold 2 | Epoch 5/25 | Val Loss: 0.5351, Val F1: 0.8039
  Fold 2 | Epoch 6/25 | Val Loss: 0.5157, Val F1: 0.8629
  Fold 2 | Epoch 7/25 | Val Loss: 0.4885, Val F1: 0.8364
  Fold 2 | Epoch 8/25 | Val Loss: 0.4599, Val F1: 0.8629
  Fold 2 | Epoch 9/25 | Val Loss: 0.4245, Val F1: 0.8900
  Fold 2 | Epoch 10/25 | Val Loss: 0.3913, Val F1: 0.8907
  Fold 2 | Epoch 11/25 | Val Loss: 0.3658, Val F1: 0.8633
  Fold 2 | Epoch 12/25 | Val Loss: 0.3454, Val F1: 0.9164
  Fold 2 | Epoch 13/25 | Val Loss: 0.3322, Val F1: 0.9164
  Fold 2 | Epoch 14/25 | Val Loss: 0.3298, Val F1: 0.8879
  Fold 2 | Epoch 15/25 | Val Loss: 0.3049, Val F1: 0.8879
  Fold 2 | Epoch 16/25 | Val Loss: 0.2879, Val F1: 0.9164
  Fold 2 | Epoch 17/25 | Val Loss: 0.2850, Val F1: 0.9164
  Fold 2 | Epoch 18/25 | Val Loss: 0.2672, Val F1: 0.9164
  Fold 2 | Epoch 19/25 | Val Loss: 0.2576, Val F1: 0.9164
  Fold 2 | Epoch 20/25 | Val Loss: 0.2347, Val F1: 0.9164
  Fold 2 | Epoch 21/25 | Val Loss: 0.2462, Val F1: 0.9164
  Fold 2 | Epoch 22/25 | Val Loss: 0.2538, Val F1: 0.9182
  Fold 2 | Epoch 23/25 | Val Loss: 0.2178, Val F1: 0.9164
  Fold 2 | Epoch 24/25 | Val Loss: 0.1902, Val F1: 0.9441
  Fold 2 | Epoch 25/25 | Val Loss: 0.1923, Val F1: 0.9182

--- Fold 3/5 ---
  Fold 3 | Epoch 1/25 | Val Loss: 0.7730, Val F1: 0.6503
  Fold 3 | Epoch 2/25 | Val Loss: 0.6408, Val F1: 0.7151
  Fold 3 | Epoch 3/25 | Val Loss: 0.5703, Val F1: 0.7796
  Fold 3 | Epoch 4/25 | Val Loss: 0.5403, Val F1: 0.7635
  Fold 3 | Epoch 5/25 | Val Loss: 0.5341, Val F1: 0.7978
  Fold 3 | Epoch 6/25 | Val Loss: 0.5205, Val F1: 0.8065
  Fold 3 | Epoch 7/25 | Val Loss: 0.4881, Val F1: 0.8312
  Fold 3 | Epoch 8/25 | Val Loss: 0.4527, Val F1: 0.7978
  Fold 3 | Epoch 9/25 | Val Loss: 0.4271, Val F1: 0.8246
  Fold 3 | Epoch 10/25 | Val Loss: 0.4099, Val F1: 0.8246
  Fold 3 | Epoch 11/25 | Val Loss: 0.4003, Val F1: 0.8246
  Fold 3 | Epoch 12/25 | Val Loss: 0.3833, Val F1: 0.8246
  Fold 3 | Epoch 13/25 | Val Loss: 0.3740, Val F1: 0.8558
  Fold 3 | Epoch 14/25 | Val Loss: 0.3654, Val F1: 0.8558
  Fold 3 | Epoch 15/25 | Val Loss: 0.3553, Val F1: 0.8558
  Fold 3 | Epoch 16/25 | Val Loss: 0.3446, Val F1: 0.8558
  Fold 3 | Epoch 17/25 | Val Loss: 0.3119, Val F1: 0.8860
  Fold 3 | Epoch 18/25 | Val Loss: 0.2965, Val F1: 0.8860
  Fold 3 | Epoch 19/25 | Val Loss: 0.2819, Val F1: 0.8860
  Fold 3 | Epoch 20/25 | Val Loss: 0.2875, Val F1: 0.8830
  Fold 3 | Epoch 21/25 | Val Loss: 0.2601, Val F1: 0.9134
  Fold 3 | Epoch 22/25 | Val Loss: 0.2426, Val F1: 0.9134
  Fold 3 | Epoch 23/25 | Val Loss: 0.2387, Val F1: 0.9134
  Fold 3 | Epoch 24/25 | Val Loss: 0.2096, Val F1: 0.9430
  Fold 3 | Epoch 25/25 | Val Loss: 0.1908, Val F1: 0.9430

--- Fold 4/5 ---
  Fold 4 | Epoch 1/25 | Val Loss: 1.2186, Val F1: 0.5504
  Fold 4 | Epoch 2/25 | Val Loss: 0.9640, Val F1: 0.5504
  Fold 4 | Epoch 3/25 | Val Loss: 0.7833, Val F1: 0.6222
  Fold 4 | Epoch 4/25 | Val Loss: 0.6878, Val F1: 0.7411
  Fold 4 | Epoch 5/25 | Val Loss: 0.6316, Val F1: 0.7467
  Fold 4 | Epoch 6/25 | Val Loss: 0.5917, Val F1: 0.8294
  Fold 4 | Epoch 7/25 | Val Loss: 0.5637, Val F1: 0.8564
  Fold 4 | Epoch 8/25 | Val Loss: 0.5309, Val F1: 0.8564
  Fold 4 | Epoch 9/25 | Val Loss: 0.4982, Val F1: 0.8564
  Fold 4 | Epoch 10/25 | Val Loss: 0.4684, Val F1: 0.8564
  Fold 4 | Epoch 11/25 | Val Loss: 0.4384, Val F1: 0.8830
  Fold 4 | Epoch 12/25 | Val Loss: 0.4236, Val F1: 0.8821
  Fold 4 | Epoch 13/25 | Val Loss: 0.4133, Val F1: 0.8821
  Fold 4 | Epoch 14/25 | Val Loss: 0.4067, Val F1: 0.8563
  Fold 4 | Epoch 15/25 | Val Loss: 0.3958, Val F1: 0.8563
  Fold 4 | Epoch 16/25 | Val Loss: 0.3719, Val F1: 0.8821
  Fold 4 | Epoch 17/25 | Val Loss: 0.3390, Val F1: 0.8821
  Fold 4 | Epoch 18/25 | Val Loss: 0.3321, Val F1: 0.8821
  Fold 4 | Epoch 19/25 | Val Loss: 0.3287, Val F1: 0.8821
  Fold 4 | Epoch 20/25 | Val Loss: 0.3055, Val F1: 0.8821
  Fold 4 | Epoch 21/25 | Val Loss: 0.2871, Val F1: 0.9134
  Fold 4 | Epoch 22/25 | Val Loss: 0.2770, Val F1: 0.9134
  Fold 4 | Epoch 23/25 | Val Loss: 0.2632, Val F1: 0.9134
  Fold 4 | Epoch 24/25 | Val Loss: 0.2581, Val F1: 0.9134
  Fold 4 | Epoch 25/25 | Val Loss: 0.2506, Val F1: 0.9134

--- Fold 5/5 ---
  Fold 5 | Epoch 1/25 | Val Loss: 1.1055, Val F1: 0.6061
  Fold 5 | Epoch 2/25 | Val Loss: 0.9336, Val F1: 0.6307
  Fold 5 | Epoch 3/25 | Val Loss: 0.7895, Val F1: 0.6581
  Fold 5 | Epoch 4/25 | Val Loss: 0.6888, Val F1: 0.6663
  Fold 5 | Epoch 5/25 | Val Loss: 0.6279, Val F1: 0.7377
  Fold 5 | Epoch 6/25 | Val Loss: 0.5899, Val F1: 0.7680
  Fold 5 | Epoch 7/25 | Val Loss: 0.5611, Val F1: 0.7983
  Fold 5 | Epoch 8/25 | Val Loss: 0.5354, Val F1: 0.8281
  Fold 5 | Epoch 9/25 | Val Loss: 0.5120, Val F1: 0.8281
  Fold 5 | Epoch 10/25 | Val Loss: 0.4936, Val F1: 0.8281
  Fold 5 | Epoch 11/25 | Val Loss: 0.4739, Val F1: 0.8281
  Fold 5 | Epoch 12/25 | Val Loss: 0.4552, Val F1: 0.8281
  Fold 5 | Epoch 13/25 | Val Loss: 0.4359, Val F1: 0.8281
  Fold 5 | Epoch 14/25 | Val Loss: 0.4185, Val F1: 0.8281
  Fold 5 | Epoch 15/25 | Val Loss: 0.4030, Val F1: 0.8281
  Fold 5 | Epoch 16/25 | Val Loss: 0.3881, Val F1: 0.8543
  Fold 5 | Epoch 17/25 | Val Loss: 0.3715, Val F1: 0.8281
  Fold 5 | Epoch 18/25 | Val Loss: 0.3550, Val F1: 0.8281
  Fold 5 | Epoch 19/25 | Val Loss: 0.3362, Val F1: 0.8543
  Fold 5 | Epoch 20/25 | Val Loss: 0.3160, Val F1: 0.8846
  Fold 5 | Epoch 21/25 | Val Loss: 0.2915, Val F1: 0.8846
  Fold 5 | Epoch 22/25 | Val Loss: 0.2701, Val F1: 0.8846
  Fold 5 | Epoch 23/25 | Val Loss: 0.2491, Val F1: 0.8846
  Fold 5 | Epoch 24/25 | Val Loss: 0.2298, Val F1: 0.9122
  Fold 5 | Epoch 25/25 | Val Loss: 0.2088, Val F1: 0.9419

--- 5-Fold CV Summary ---
Mean Validation F1: 0.9322 ± 0.0135

Unfreezing for GRU: model.gru2, model.gru3, and model.fc
Step 20/200 - Test Loss: 0.5870, Accuracy: 0.8000, F1: 0.7954
Step 40/200 - Test Loss: 0.5768, Accuracy: 0.7667, F1: 0.7594
Step 60/200 - Test Loss: 0.5585, Accuracy: 0.7833, F1: 0.7761
Step 80/200 - Test Loss: 0.5589, Accuracy: 0.7833, F1: 0.7761
Step 100/200 - Test Loss: 0.4868, Accuracy: 0.8167, F1: 0.8127
Step 120/200 - Test Loss: 0.3860, Accuracy: 0.8667, F1: 0.8648
Step 140/200 - Test Loss: 0.2748, Accuracy: 0.8833, F1: 0.8832
Step 160/200 - Test Loss: 0.2331, Accuracy: 0.9167, F1: 0.9160
Step 180/200 - Test Loss: 0.2722, Accuracy: 0.9167, F1: 0.9160
Step 200/200 - Test Loss: 0.3033, Accuracy: 0.9000, F1: 0.8989

Final evaluation on the model from the last iteration...

=== Final Test Results for gru ===
Test Loss       : 0.3033
Test Accuracy   : 0.9000
Macro F1 score  : 0.8989
Confusion Matrix:
[[20  0  0]
 [ 2 17  1]
 [ 1  2 17]]

Saved final model to online_gesture_gru.pth

[simple CNN]
PS C:\Capstone\arm-pose-estimation-main> & C:/Users/bluei/AppData/Local/Programs/Python/Python312/python.exe c:/Capstone/arm-pose-estimation-main/src/wear_mocap_ape/classification/fine_tune_online.py --train-csv online_vxo.csv --test-csv vxo_gesture.csv --pretrained offline_gesture_simplecnn.pth --model simplecnn --output online_gesture_simplecnn.pth  --lr 1e-2
>>
==================================================
### 1단계: simplecnn 모델 5-Fold 교차 검증 시작 ###
==================================================

--- Fold 1/5 ---
C:\Users\bluei\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\conv.py:306: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ..\aten\src\ATen\native\cudnn\Conv_v8.cpp:919.)
  return F.conv1d(input, weight, bias, self.stride,
  Fold 1 | Epoch 1/25 | Val Loss: 0.3564, Val F1: 0.9154
  Fold 1 | Epoch 2/25 | Val Loss: 0.1133, Val F1: 0.9444
  Fold 1 | Epoch 3/25 | Val Loss: 0.0571, Val F1: 0.9722
  Fold 1 | Epoch 4/25 | Val Loss: 0.0327, Val F1: 1.0000
  Fold 1 | Epoch 5/25 | Val Loss: 0.0181, Val F1: 1.0000
  Fold 1 | Epoch 6/25 | Val Loss: 0.0124, Val F1: 1.0000
  Fold 1 | Epoch 7/25 | Val Loss: 0.0097, Val F1: 1.0000
  Fold 1 | Epoch 8/25 | Val Loss: 0.0080, Val F1: 1.0000
  Fold 1 | Epoch 9/25 | Val Loss: 0.0069, Val F1: 1.0000
  Fold 1 | Epoch 10/25 | Val Loss: 0.0061, Val F1: 1.0000
  Fold 1 | Epoch 11/25 | Val Loss: 0.0058, Val F1: 1.0000
  Fold 1 | Epoch 12/25 | Val Loss: 0.0059, Val F1: 1.0000
  Fold 1 | Epoch 13/25 | Val Loss: 0.0058, Val F1: 1.0000
  Fold 1 | Epoch 14/25 | Val Loss: 0.0052, Val F1: 1.0000
  Fold 1 | Epoch 15/25 | Val Loss: 0.0045, Val F1: 1.0000
  Fold 1 | Epoch 16/25 | Val Loss: 0.0042, Val F1: 1.0000
  Fold 1 | Epoch 17/25 | Val Loss: 0.0041, Val F1: 1.0000
  Fold 1 | Epoch 18/25 | Val Loss: 0.0046, Val F1: 1.0000
  Fold 1 | Epoch 19/25 | Val Loss: 0.0051, Val F1: 1.0000
  Fold 1 | Epoch 20/25 | Val Loss: 0.0054, Val F1: 1.0000
  Fold 1 | Epoch 21/25 | Val Loss: 0.0053, Val F1: 1.0000
  Fold 1 | Epoch 22/25 | Val Loss: 0.0051, Val F1: 1.0000
  Fold 1 | Epoch 23/25 | Val Loss: 0.0047, Val F1: 1.0000
  Fold 1 | Epoch 24/25 | Val Loss: 0.0042, Val F1: 1.0000
  Fold 1 | Epoch 25/25 | Val Loss: 0.0040, Val F1: 1.0000

--- Fold 2/5 ---
  Fold 2 | Epoch 1/25 | Val Loss: 0.3817, Val F1: 0.8907
  Fold 2 | Epoch 2/25 | Val Loss: 0.2580, Val F1: 0.9441
  Fold 2 | Epoch 3/25 | Val Loss: 0.1774, Val F1: 0.9441
