[BiLSTM]

PS C:\Capstone\arm-pose-estimation-main> & C:/Users/bluei/AppData/Local/Programs/Python/Python312/python.exe c:/Capstone/arm-pose-estimation-main/src/wear_mocap_ape/classification/train_gesture_offline.py --csv 6DMG_VXO.csv --model bilstm
Training & evaluation start.
Label distribution across dataset:
  Label 0: 280
  Label 1: 280
  Label 2: 281
Fold 1 | Iter 7 — Val Loss: 1.0869 | Acc: 0.3314 | F1: 0.1659
Fold 1 | Iter 189 — Val Loss: 0.0823 | Acc: 0.9704 | F1: 0.9703
Fold 1 | Iter 196 — Val Loss: 0.0779 | Acc: 0.9704 | F1: 0.9703
Fold 1 | Iter 200 — Val Loss: 0.0770 | Acc: 0.9763 | F1: 0.9762
Fold 2 | Iter 7 — Val Loss: 1.0804 | Acc: 0.4286 | F1: 0.3457
Fold 2 | Iter 14 — Val Loss: 1.0500 | Acc: 0.8274 | F1: 0.8237
Fold 2 | Iter 21 — Val Loss: 1.0071 | Acc: 0.8393 | F1: 0.8356
Fold 2 | Iter 28 — Val Loss: 0.9480 | Acc: 0.7738 | F1: 0.7541
Fold 2 | Iter 35 — Val Loss: 0.8660 | Acc: 0.7560 | F1: 0.7219
Fold 2 | Iter 42 — Val Loss: 0.7590 | Acc: 0.7679 | F1: 0.7411
Fold 2 | Iter 49 — Val Loss: 0.6442 | Acc: 0.7619 | F1: 0.7385
Fold 2 | Iter 56 — Val Loss: 0.5537 | Acc: 0.7619 | F1: 0.7380
Fold 2 | Iter 63 — Val Loss: 0.4935 | Acc: 0.7917 | F1: 0.7803
Fold 2 | Iter 70 — Val Loss: 0.4436 | Acc: 0.8452 | F1: 0.8427
Fold 2 | Iter 77 — Val Loss: 0.3996 | Acc: 0.8631 | F1: 0.8611
Fold 2 | Iter 84 — Val Loss: 0.3627 | Acc: 0.8690 | F1: 0.8670
Fold 2 | Iter 91 — Val Loss: 0.3316 | Acc: 0.8869 | F1: 0.8852
Fold 2 | Iter 98 — Val Loss: 0.3057 | Acc: 0.8929 | F1: 0.8917
Fold 2 | Iter 105 — Val Loss: 0.2758 | Acc: 0.9107 | F1: 0.9098
Fold 2 | Iter 112 — Val Loss: 0.2508 | Acc: 0.9167 | F1: 0.9162
Fold 2 | Iter 119 — Val Loss: 0.2254 | Acc: 0.9286 | F1: 0.9288
Fold 2 | Iter 126 — Val Loss: 0.2099 | Acc: 0.9345 | F1: 0.9340
Fold 2 | Iter 133 — Val Loss: 0.1889 | Acc: 0.9405 | F1: 0.9399
Fold 2 | Iter 140 — Val Loss: 0.1728 | Acc: 0.9524 | F1: 0.9523
Fold 2 | Iter 147 — Val Loss: 0.1624 | Acc: 0.9583 | F1: 0.9583
Fold 2 | Iter 154 — Val Loss: 0.1650 | Acc: 0.9524 | F1: 0.9521
Fold 2 | Iter 161 — Val Loss: 0.1425 | Acc: 0.9643 | F1: 0.9642
Fold 2 | Iter 168 — Val Loss: 0.1414 | Acc: 0.9583 | F1: 0.9582
Fold 2 | Iter 175 — Val Loss: 0.1352 | Acc: 0.9643 | F1: 0.9642
Fold 2 | Iter 182 — Val Loss: 0.1260 | Acc: 0.9702 | F1: 0.9702
Fold 2 | Iter 189 — Val Loss: 0.1243 | Acc: 0.9643 | F1: 0.9642
Fold 2 | Iter 196 — Val Loss: 0.1213 | Acc: 0.9643 | F1: 0.9642
Fold 2 | Iter 200 — Val Loss: 0.1137 | Acc: 0.9702 | F1: 0.9702
Fold 3 | Iter 7 — Val Loss: 1.0835 | Acc: 0.6667 | F1: 0.6653
Fold 3 | Iter 14 — Val Loss: 1.0523 | Acc: 0.7560 | F1: 0.7500
Fold 3 | Iter 21 — Val Loss: 1.0098 | Acc: 0.8036 | F1: 0.8009
Fold 3 | Iter 28 — Val Loss: 0.9539 | Acc: 0.8214 | F1: 0.8154
Fold 3 | Iter 35 — Val Loss: 0.8779 | Acc: 0.8214 | F1: 0.8136
Fold 3 | Iter 42 — Val Loss: 0.7773 | Acc: 0.8333 | F1: 0.8231
Fold 3 | Iter 49 — Val Loss: 0.6596 | Acc: 0.8333 | F1: 0.8229
Fold 3 | Iter 56 — Val Loss: 0.5511 | Acc: 0.8393 | F1: 0.8298
Fold 3 | Iter 63 — Val Loss: 0.4670 | Acc: 0.8690 | F1: 0.8661
Fold 3 | Iter 70 — Val Loss: 0.4026 | Acc: 0.8810 | F1: 0.8795
Fold 3 | Iter 77 — Val Loss: 0.3437 | Acc: 0.9167 | F1: 0.9166
Fold 3 | Iter 84 — Val Loss: 0.2942 | Acc: 0.8929 | F1: 0.8918
Fold 3 | Iter 91 — Val Loss: 0.2617 | Acc: 0.8988 | F1: 0.8981
Fold 3 | Iter 98 — Val Loss: 0.2247 | Acc: 0.9107 | F1: 0.9104
Fold 3 | Iter 105 — Val Loss: 0.1955 | Acc: 0.9226 | F1: 0.9221
Fold 3 | Iter 112 — Val Loss: 0.1741 | Acc: 0.9405 | F1: 0.9402
Fold 3 | Iter 119 — Val Loss: 0.1537 | Acc: 0.9405 | F1: 0.9402
Fold 3 | Iter 126 — Val Loss: 0.1429 | Acc: 0.9583 | F1: 0.9582
Fold 3 | Iter 133 — Val Loss: 0.1297 | Acc: 0.9583 | F1: 0.9582
Fold 3 | Iter 140 — Val Loss: 0.1271 | Acc: 0.9583 | F1: 0.9582
Fold 3 | Iter 147 — Val Loss: 0.1147 | Acc: 0.9643 | F1: 0.9643
Fold 3 | Iter 154 — Val Loss: 0.1076 | Acc: 0.9643 | F1: 0.9643
Fold 3 | Iter 161 — Val Loss: 0.1020 | Acc: 0.9643 | F1: 0.9643
Fold 3 | Iter 168 — Val Loss: 0.0946 | Acc: 0.9643 | F1: 0.9643
Fold 3 | Iter 175 — Val Loss: 0.0879 | Acc: 0.9643 | F1: 0.9643
Fold 3 | Iter 182 — Val Loss: 0.0859 | Acc: 0.9643 | F1: 0.9643
Fold 3 | Iter 189 — Val Loss: 0.0744 | Acc: 0.9702 | F1: 0.9703
Fold 3 | Iter 196 — Val Loss: 0.0791 | Acc: 0.9702 | F1: 0.9702
Fold 3 | Iter 200 — Val Loss: 0.0932 | Acc: 0.9643 | F1: 0.9642
Fold 4 | Iter 7 — Val Loss: 1.0827 | Acc: 0.4762 | F1: 0.3914
Fold 4 | Iter 14 — Val Loss: 1.0513 | Acc: 0.7381 | F1: 0.7258
Fold 4 | Iter 21 — Val Loss: 1.0081 | Acc: 0.6964 | F1: 0.6632
Fold 4 | Iter 28 — Val Loss: 0.9487 | Acc: 0.6786 | F1: 0.6132
Fold 4 | Iter 35 — Val Loss: 0.8672 | Acc: 0.7321 | F1: 0.6941
Fold 4 | Iter 42 — Val Loss: 0.7639 | Acc: 0.7798 | F1: 0.7574
Fold 4 | Iter 49 — Val Loss: 0.6548 | Acc: 0.7738 | F1: 0.7522
Fold 4 | Iter 56 — Val Loss: 0.5662 | Acc: 0.7798 | F1: 0.7621
Fold 4 | Iter 63 — Val Loss: 0.5026 | Acc: 0.8155 | F1: 0.8057
Fold 4 | Iter 70 — Val Loss: 0.4565 | Acc: 0.8333 | F1: 0.8279
Fold 4 | Iter 77 — Val Loss: 0.4072 | Acc: 0.8810 | F1: 0.8792
Fold 4 | Iter 84 — Val Loss: 0.3568 | Acc: 0.9107 | F1: 0.9101
Fold 4 | Iter 91 — Val Loss: 0.3077 | Acc: 0.9286 | F1: 0.9285
Fold 4 | Iter 98 — Val Loss: 0.2554 | Acc: 0.9464 | F1: 0.9464
Fold 4 | Iter 105 — Val Loss: 0.2082 | Acc: 0.9583 | F1: 0.9583
Fold 4 | Iter 112 — Val Loss: 0.1750 | Acc: 0.9583 | F1: 0.9583
Fold 4 | Iter 119 — Val Loss: 0.1559 | Acc: 0.9643 | F1: 0.9644
Fold 4 | Iter 126 — Val Loss: 0.1392 | Acc: 0.9702 | F1: 0.9703
Fold 4 | Iter 133 — Val Loss: 0.1357 | Acc: 0.9643 | F1: 0.9645
Fold 4 | Iter 140 — Val Loss: 0.1210 | Acc: 0.9762 | F1: 0.9763
Fold 4 | Iter 147 — Val Loss: 0.1155 | Acc: 0.9762 | F1: 0.9762
Fold 4 | Iter 154 — Val Loss: 0.0982 | Acc: 0.9821 | F1: 0.9822
Fold 4 | Iter 161 — Val Loss: 0.0964 | Acc: 0.9762 | F1: 0.9762
Fold 4 | Iter 168 — Val Loss: 0.1031 | Acc: 0.9821 | F1: 0.9821
Fold 4 | Iter 175 — Val Loss: 0.0747 | Acc: 0.9881 | F1: 0.9881
Fold 4 | Iter 182 — Val Loss: 0.0741 | Acc: 0.9762 | F1: 0.9762
Fold 4 | Iter 189 — Val Loss: 0.0687 | Acc: 0.9821 | F1: 0.9821
Fold 4 | Iter 196 — Val Loss: 0.0575 | Acc: 0.9881 | F1: 0.9881
Fold 4 | Iter 200 — Val Loss: 0.0622 | Acc: 0.9821 | F1: 0.9821
Fold 5 | Iter 7 — Val Loss: 1.0768 | Acc: 0.5357 | F1: 0.4668
Fold 5 | Iter 14 — Val Loss: 1.0469 | Acc: 0.8571 | F1: 0.8560
Fold 5 | Iter 21 — Val Loss: 1.0049 | Acc: 0.8631 | F1: 0.8631
Fold 5 | Iter 28 — Val Loss: 0.9481 | Acc: 0.8750 | F1: 0.8734
Fold 5 | Iter 35 — Val Loss: 0.8707 | Acc: 0.8571 | F1: 0.8532
Fold 5 | Iter 42 — Val Loss: 0.7703 | Acc: 0.8869 | F1: 0.8860
Fold 5 | Iter 49 — Val Loss: 0.6549 | Acc: 0.8690 | F1: 0.8674
Fold 5 | Iter 56 — Val Loss: 0.5521 | Acc: 0.8869 | F1: 0.8852
Fold 5 | Iter 63 — Val Loss: 0.4760 | Acc: 0.8929 | F1: 0.8930
Fold 5 | Iter 70 — Val Loss: 0.4202 | Acc: 0.8750 | F1: 0.8765
Fold 5 | Iter 77 — Val Loss: 0.3631 | Acc: 0.8869 | F1: 0.8881
Fold 5 | Iter 84 — Val Loss: 0.3023 | Acc: 0.9107 | F1: 0.9115
Fold 5 | Iter 91 — Val Loss: 0.2573 | Acc: 0.9048 | F1: 0.9058
Fold 5 | Iter 98 — Val Loss: 0.2360 | Acc: 0.9107 | F1: 0.9115
Fold 5 | Iter 105 — Val Loss: 0.2090 | Acc: 0.9345 | F1: 0.9349
Fold 5 | Iter 112 — Val Loss: 0.1819 | Acc: 0.9345 | F1: 0.9348
Fold 5 | Iter 119 — Val Loss: 0.1932 | Acc: 0.9286 | F1: 0.9291
Fold 5 | Iter 126 — Val Loss: 0.1612 | Acc: 0.9405 | F1: 0.9407
Fold 5 | Iter 133 — Val Loss: 0.1547 | Acc: 0.9464 | F1: 0.9466
Fold 5 | Iter 140 — Val Loss: 0.1553 | Acc: 0.9464 | F1: 0.9468
Fold 5 | Iter 147 — Val Loss: 0.1437 | Acc: 0.9524 | F1: 0.9526
Fold 5 | Iter 154 — Val Loss: 0.1743 | Acc: 0.9345 | F1: 0.9350
Fold 5 | Iter 161 — Val Loss: 0.1316 | Acc: 0.9464 | F1: 0.9468
Fold 5 | Iter 168 — Val Loss: 0.1209 | Acc: 0.9583 | F1: 0.9585
Fold 5 | Iter 175 — Val Loss: 0.1333 | Acc: 0.9464 | F1: 0.9468
Fold 5 | Iter 182 — Val Loss: 0.1267 | Acc: 0.9464 | F1: 0.9468
Fold 5 | Iter 189 — Val Loss: 0.1201 | Acc: 0.9524 | F1: 0.9526
Fold 5 | Iter 196 — Val Loss: 0.1262 | Acc: 0.9464 | F1: 0.9468
Fold 5 | Iter 200 — Val Loss: 0.1242 | Acc: 0.9464 | F1: 0.9468

CV Summary:
  Fold 1: Loss=0.0770, Acc=0.9763
  Fold 2: Loss=0.1137, Acc=0.9702
  Fold 3: Loss=0.0932, Acc=0.9643
  Fold 4: Loss=0.0622, Acc=0.9821
  Fold 5: Loss=0.1242, Acc=0.9464
  Mean   : Loss=0.0941±0.0228, Acc=0.9679±0.0123

Retraining on full dataset (no validation split)...

Final model trained on all data | Loss: 0.0719 | Acc: 0.9774
Saved final model to offline_gesture_bilstm.pth
Training & evaluation complete.

[GRU]
PS C:\Capstone\arm-pose-estimation-main> & C:/Users/bluei/AppData/Local/Programs/Python/Python312/python.exe c:/Capstone/arm-pose-estimation-main/src/wear_mocap_ape/classification/train_gesture_offline.py --csv 6DMG_VXO.csv --model gru  --batch-size 64 --lr 3e-4 --iterations 100
Training & evaluation start.
Label distribution across dataset:
  Label 0: 280
  Label 1: 280
  Label 2: 281
Fold 1 | Iter 11 — Val Loss: 0.9766 | Acc: 0.7574 | F1: 0.7483
Fold 1 | Iter 22 — Val Loss: 0.7642 | Acc: 0.7160 | F1: 0.6888
Fold 1 | Iter 33 — Val Loss: 0.6361 | Acc: 0.7219 | F1: 0.7045
Fold 1 | Iter 44 — Val Loss: 0.4883 | Acc: 0.8462 | F1: 0.8476
Fold 1 | Iter 55 — Val Loss: 0.3826 | Acc: 0.8757 | F1: 0.8773
Fold 1 | Iter 66 — Val Loss: 0.3278 | Acc: 0.8757 | F1: 0.8768
Fold 1 | Iter 77 — Val Loss: 0.3502 | Acc: 0.8402 | F1: 0.8410
Fold 1 | Iter 88 — Val Loss: 0.2458 | Acc: 0.9053 | F1: 0.9054
Fold 1 | Iter 99 — Val Loss: 0.1986 | Acc: 0.9408 | F1: 0.9410
Fold 1 | Iter 100 — Val Loss: 0.2022 | Acc: 0.9408 | F1: 0.9411
Fold 2 | Iter 11 — Val Loss: 1.0063 | Acc: 0.6845 | F1: 0.6843
Fold 2 | Iter 22 — Val Loss: 0.8157 | Acc: 0.7560 | F1: 0.7528
Fold 2 | Iter 33 — Val Loss: 0.5928 | Acc: 0.7798 | F1: 0.7750
Fold 2 | Iter 44 — Val Loss: 0.5266 | Acc: 0.7857 | F1: 0.7829
Fold 2 | Iter 55 — Val Loss: 0.4792 | Acc: 0.8333 | F1: 0.8310
Fold 2 | Iter 66 — Val Loss: 0.4189 | Acc: 0.8214 | F1: 0.8177
Fold 2 | Iter 77 — Val Loss: 0.3770 | Acc: 0.8512 | F1: 0.8483
Fold 2 | Iter 88 — Val Loss: 0.3663 | Acc: 0.8690 | F1: 0.8678
Fold 2 | Iter 99 — Val Loss: 0.3669 | Acc: 0.8631 | F1: 0.8608
Fold 2 | Iter 100 — Val Loss: 0.3620 | Acc: 0.8631 | F1: 0.8608
Fold 3 | Iter 11 — Val Loss: 0.9886 | Acc: 0.7381 | F1: 0.7429
Fold 3 | Iter 22 — Val Loss: 0.7543 | Acc: 0.8095 | F1: 0.8063
Fold 3 | Iter 33 — Val Loss: 0.5335 | Acc: 0.8036 | F1: 0.8025
Fold 3 | Iter 44 — Val Loss: 0.4279 | Acc: 0.8036 | F1: 0.8049
Fold 3 | Iter 55 — Val Loss: 0.3612 | Acc: 0.8810 | F1: 0.8814
Fold 3 | Iter 66 — Val Loss: 0.3576 | Acc: 0.8750 | F1: 0.8760
Fold 3 | Iter 77 — Val Loss: 0.3145 | Acc: 0.8929 | F1: 0.8930
Fold 3 | Iter 88 — Val Loss: 0.2742 | Acc: 0.9107 | F1: 0.9113
Fold 3 | Iter 99 — Val Loss: 0.1993 | Acc: 0.9464 | F1: 0.9465
Fold 3 | Iter 100 — Val Loss: 0.1907 | Acc: 0.9583 | F1: 0.9583
Fold 4 | Iter 11 — Val Loss: 1.0049 | Acc: 0.6369 | F1: 0.6211
Fold 4 | Iter 22 — Val Loss: 0.7997 | Acc: 0.7381 | F1: 0.7125
Fold 4 | Iter 33 — Val Loss: 0.5623 | Acc: 0.7500 | F1: 0.7280
Fold 4 | Iter 44 — Val Loss: 0.4123 | Acc: 0.8393 | F1: 0.8388
Fold 4 | Iter 55 — Val Loss: 0.3138 | Acc: 0.8929 | F1: 0.8933
Fold 4 | Iter 66 — Val Loss: 0.2808 | Acc: 0.9226 | F1: 0.9229
Fold 4 | Iter 77 — Val Loss: 0.2438 | Acc: 0.9405 | F1: 0.9407
Fold 4 | Iter 88 — Val Loss: 0.2024 | Acc: 0.9583 | F1: 0.9583
Fold 4 | Iter 99 — Val Loss: 0.1674 | Acc: 0.9583 | F1: 0.9584
Fold 4 | Iter 100 — Val Loss: 0.1639 | Acc: 0.9583 | F1: 0.9584
Fold 5 | Iter 11 — Val Loss: 0.9924 | Acc: 0.6905 | F1: 0.6875
Fold 5 | Iter 22 — Val Loss: 0.8001 | Acc: 0.6845 | F1: 0.6668
Fold 5 | Iter 33 — Val Loss: 0.6358 | Acc: 0.7262 | F1: 0.7190
Fold 5 | Iter 44 — Val Loss: 0.5222 | Acc: 0.7798 | F1: 0.7812
Fold 5 | Iter 55 — Val Loss: 0.4440 | Acc: 0.8274 | F1: 0.8281
Fold 5 | Iter 66 — Val Loss: 0.3872 | Acc: 0.8571 | F1: 0.8580
Fold 5 | Iter 77 — Val Loss: 0.3222 | Acc: 0.9048 | F1: 0.9060
Fold 5 | Iter 88 — Val Loss: 0.2704 | Acc: 0.9286 | F1: 0.9293
Fold 5 | Iter 99 — Val Loss: 0.2202 | Acc: 0.9405 | F1: 0.9406
Fold 5 | Iter 100 — Val Loss: 0.2194 | Acc: 0.9405 | F1: 0.9406

CV Summary:
  Fold 1: Loss=0.2022, Acc=0.9408
  Fold 2: Loss=0.3620, Acc=0.8631
  Fold 3: Loss=0.1907, Acc=0.9583
  Fold 4: Loss=0.1639, Acc=0.9583
  Fold 5: Loss=0.2194, Acc=0.9405
  Mean   : Loss=0.2276±0.0696, Acc=0.9322±0.0355

Retraining on full dataset (no validation split)...

Final model trained on all data | Loss: 0.2501 | Acc: 0.9168
Saved final model to offline_gesture_gru.pth
Training & evaluation complete.

[Simple CNN]
PS C:\Capstone\arm-pose-estimation-main> & C:/Users/bluei/AppData/Local/Programs/Python/Python312/python.exe c:/Capstone/arm-pose-estimation-main/src/wear_mocap_ape/classification/train_gesture_offline.py --csv 6DMG_VXO.csv --model simplecnn                             
Training & evaluation start.
Label distribution across dataset:
  Label 0: 280
  Label 1: 280
  Label 2: 281
C:\Users\bluei\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\conv.py:306: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ..\aten\src\ATen\native\cudnn\Conv_v8.cpp:919.)
  return F.conv1d(input, weight, bias, self.stride,
Fold 1 | Iter 7 — Val Loss: 1.1021 | Acc: 0.3314 | F1: 0.1659
Fold 1 | Iter 14 — Val Loss: 0.7645 | Acc: 0.6982 | F1: 0.6991
Fold 1 | Iter 21 — Val Loss: 0.2790 | Acc: 0.9053 | F1: 0.9049
Fold 1 | Iter 28 — Val Loss: 0.2211 | Acc: 0.8994 | F1: 0.8994
Fold 1 | Iter 35 — Val Loss: 0.1987 | Acc: 0.9586 | F1: 0.9584
Fold 1 | Iter 42 — Val Loss: 0.1130 | Acc: 0.9645 | F1: 0.9644
Fold 1 | Iter 49 — Val Loss: 0.0838 | Acc: 0.9822 | F1: 0.9822
Fold 1 | Iter 56 — Val Loss: 0.1179 | Acc: 0.9586 | F1: 0.9585
Fold 1 | Iter 63 — Val Loss: 0.1896 | Acc: 0.9467 | F1: 0.9465
Fold 1 | Iter 70 — Val Loss: 0.1005 | Acc: 0.9645 | F1: 0.9645
Fold 1 | Iter 77 — Val Loss: 0.1362 | Acc: 0.9645 | F1: 0.9644
Fold 1 | Iter 84 — Val Loss: 0.0134 | Acc: 0.9941 | F1: 0.9941
Fold 1 | Iter 91 — Val Loss: 0.1684 | Acc: 0.9645 | F1: 0.9643
Fold 1 | Iter 98 — Val Loss: 0.0837 | Acc: 0.9763 | F1: 0.9763
Fold 1 | Iter 105 — Val Loss: 0.1038 | Acc: 0.9763 | F1: 0.9763
Fold 1 | Iter 112 — Val Loss: 0.1045 | Acc: 0.9822 | F1: 0.9822
Fold 1 | Iter 119 — Val Loss: 0.0384 | Acc: 0.9822 | F1: 0.9822
Fold 1 | Iter 126 — Val Loss: 0.1450 | Acc: 0.9645 | F1: 0.9645
Fold 1 | Iter 133 — Val Loss: 0.1068 | Acc: 0.9586 | F1: 0.9585
Fold 1 | Iter 140 — Val Loss: 0.1286 | Acc: 0.9704 | F1: 0.9704
Fold 1 | Iter 147 — Val Loss: 0.0701 | Acc: 0.9822 | F1: 0.9823
Fold 1 | Iter 154 — Val Loss: 0.0436 | Acc: 0.9822 | F1: 0.9822
Fold 1 | Iter 161 — Val Loss: 0.3809 | Acc: 0.9586 | F1: 0.9585
Fold 1 | Iter 168 — Val Loss: 0.1035 | Acc: 0.9704 | F1: 0.9703
Fold 1 | Iter 175 — Val Loss: 0.1677 | Acc: 0.9586 | F1: 0.9586
Fold 1 | Iter 182 — Val Loss: 0.3539 | Acc: 0.9645 | F1: 0.9640
Fold 1 | Iter 189 — Val Loss: 0.4009 | Acc: 0.9053 | F1: 0.9055
Fold 1 | Iter 196 — Val Loss: 0.2667 | Acc: 0.9349 | F1: 0.9352
Fold 1 | Iter 200 — Val Loss: 0.1314 | Acc: 0.9527 | F1: 0.9527
C:\Users\bluei\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\conv.py:306: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ..\aten\src\ATen\native\cudnn\Conv_v8.cpp:919.)
  return F.conv1d(input, weight, bias, self.stride,
Fold 2 | Iter 7 — Val Loss: 1.0362 | Acc: 0.3333 | F1: 0.1808
Fold 2 | Iter 14 — Val Loss: 0.8333 | Acc: 0.7262 | F1: 0.7176
Fold 2 | Iter 21 — Val Loss: 0.6074 | Acc: 0.8095 | F1: 0.8084
Fold 2 | Iter 28 — Val Loss: 0.4436 | Acc: 0.8393 | F1: 0.8399
Fold 2 | Iter 35 — Val Loss: 0.4998 | Acc: 0.8333 | F1: 0.8319
Fold 2 | Iter 42 — Val Loss: 0.2904 | Acc: 0.8988 | F1: 0.8994
Fold 2 | Iter 49 — Val Loss: 0.2430 | Acc: 0.9226 | F1: 0.9229
Fold 2 | Iter 56 — Val Loss: 0.1820 | Acc: 0.9345 | F1: 0.9346
Fold 2 | Iter 63 — Val Loss: 0.2289 | Acc: 0.9345 | F1: 0.9348
Fold 2 | Iter 70 — Val Loss: 0.2213 | Acc: 0.9048 | F1: 0.9053
Fold 2 | Iter 77 — Val Loss: 0.1528 | Acc: 0.9464 | F1: 0.9464
Fold 2 | Iter 84 — Val Loss: 0.1493 | Acc: 0.9583 | F1: 0.9585
Fold 2 | Iter 91 — Val Loss: 0.1799 | Acc: 0.9583 | F1: 0.9585
Fold 2 | Iter 98 — Val Loss: 0.1718 | Acc: 0.9583 | F1: 0.9584
Fold 2 | Iter 105 — Val Loss: 0.1867 | Acc: 0.9643 | F1: 0.9644
Fold 2 | Iter 112 — Val Loss: 0.1246 | Acc: 0.9583 | F1: 0.9585
Fold 2 | Iter 119 — Val Loss: 0.1070 | Acc: 0.9583 | F1: 0.9584
Fold 2 | Iter 126 — Val Loss: 0.1015 | Acc: 0.9702 | F1: 0.9703
Fold 2 | Iter 133 — Val Loss: 0.0728 | Acc: 0.9702 | F1: 0.9704
Fold 2 | Iter 140 — Val Loss: 0.0558 | Acc: 0.9762 | F1: 0.9761
Fold 2 | Iter 147 — Val Loss: 0.1690 | Acc: 0.9464 | F1: 0.9466
Fold 2 | Iter 154 — Val Loss: 0.0472 | Acc: 0.9762 | F1: 0.9762
Fold 2 | Iter 161 — Val Loss: 0.0655 | Acc: 0.9702 | F1: 0.9703
Fold 2 | Iter 168 — Val Loss: 0.1174 | Acc: 0.9524 | F1: 0.9525
Fold 2 | Iter 175 — Val Loss: 0.2804 | Acc: 0.9405 | F1: 0.9411
Fold 2 | Iter 182 — Val Loss: 0.0941 | Acc: 0.9821 | F1: 0.9821
Fold 2 | Iter 189 — Val Loss: 0.4767 | Acc: 0.9226 | F1: 0.9226
Fold 2 | Iter 196 — Val Loss: 0.2640 | Acc: 0.9226 | F1: 0.9219
Fold 2 | Iter 200 — Val Loss: 0.1513 | Acc: 0.9583 | F1: 0.9583
Fold 3 | Iter 7 — Val Loss: 0.5406 | Acc: 0.8274 | F1: 0.8269
Fold 3 | Iter 14 — Val Loss: 0.2516 | Acc: 0.8929 | F1: 0.8931
Fold 3 | Iter 21 — Val Loss: 0.1840 | Acc: 0.9405 | F1: 0.9403
Fold 3 | Iter 28 — Val Loss: 0.0980 | Acc: 0.9643 | F1: 0.9639
Fold 3 | Iter 35 — Val Loss: 0.0431 | Acc: 0.9881 | F1: 0.9881
Fold 3 | Iter 42 — Val Loss: 0.0664 | Acc: 0.9881 | F1: 0.9880
Fold 3 | Iter 49 — Val Loss: 0.0172 | Acc: 0.9940 | F1: 0.9940
Fold 3 | Iter 56 — Val Loss: 0.1449 | Acc: 0.9583 | F1: 0.9583
